"pos","form","translation","notes","chapter"
"verb","πράττω, πράξω, ἔπραξα","do, accomplish",,5
"verb","φεύγω, φεύξομαι, ἔφυγον","flee, escape",,5
"verb","φυλάττω, φυλάξω, ἐφύλαξα","guard, protect",,5
"verb","ἄγω, ἄξω, ἤγαγον","lead, bring",,7
"verb","εἰμί, ἔσθμαι (present enc. excep 2 sg imperf. ἦν, ","be",,7
"verb","'ἔχω, ἔξω/σχήσω, ἔσχον (impf. εἶχον, have","",,7
"verb","λαμβάνω, λήψομαι, ἔλαβον","take, seize, receive",,7
"verb","ὀνομάξω, ὀνομάσω, ὠνὀμασα","name, call by name, call X and X (2 acc)",,7
"verb","φέρω, οἴσω, ὠωὀμασα","carry, bear, bring",,7
"verb","ἄρχω, ἀρξομαι, ἦρξα","begin, command, rule",,8
"verb","ἐθέλω, ἐθελήσομαι, ἠθέλησα","will, wish","Sometimes θέλω",8
"verb","κελεύω, κελεύσω, ἐκέλευσα","command, order",,8
"verb","μέλλω, μελλήσω, ἐμέλλησα","intend, be about to",,8
"verb","οἷός τέ εἰμι","am such as",,8
